"","p1_luckeq","p2_luckeq","p1_skilleq","p2_skilleq","p1_chips","p2_chips"
"1",-8.33,8.33,0,0,1010,990
"2",-0.890000000000001,0.890000000000001,0,0,1010,990
"3",-0.530000000000001,0.529999999999999,0,0,1010,990
"4",-9.8,9.8,0,0,1010,990
"5",-0.98,0.98,0,0,1010,990
"6",-4.16,4.16,0,0,1010,990
"7",0.460000000000001,-0.460000000000001,0,0,1010,990
"8",-0.349999999999998,0.35,0,0,1010,990
"9",-6.23,6.23,0,0,1010,990
"10",-10.7,10.7,0,0,1010,990
"11",-9.44,9.44,0,0,1010,990
"12",2.38,-2.38,0,0,1010,990
"13",-5.99,5.99,0,0,1010,990
"14",-4.16,4.16,0,0,1010,990
"15",-5.54,5.54,0,0,1010,990
"16",0.0700000000000003,-0.0700000000000003,0,0,1010,990
"17",-6.92,6.92,0,0,1010,990
"18",-1.82,1.82,0,0,1010,990
"19",1.75,-1.75,0,0,1010,990
"20",-0.800000000000001,0.799999999999999,0,0,1010,990
"21",-2.45,2.45,0,0,1010,990
"22",0.939999999999998,-0.939999999999998,0,0,1010,990
"23",0.280000000000001,-0.280000000000001,0,0,1010,990
"24",0.0100000000000016,-0.0100000000000016,0,0,1010,990
"25",-0.949999999999999,0.949999999999999,0,0,1010,990
"26",-0.739999999999998,0.74,0,0,1010,990
"27",-7.4,7.4,0,0,1010,990
"28",-4.97,4.97,0,0,1010,990
"29",-0.829999999999998,0.83,0,0,1010,990
"30",-1.7,1.7,0,0,1010,990
"31",-2.75,2.75,0,0,1010,990
"32",-0.379999999999999,0.379999999999999,0,0,1010,990
"33",-12.16,12.16,192.08,-192.08,980,1020
"34",-1.1,1.1,0,0,1010,990
"35",-5.81,5.81,0,0,1010,990
"36",-7.16,7.16,0,0,1010,990
"37",-4.91,4.91,0,0,1010,990
"38",-8.51,8.51,0,0,1010,990
"39",-8.84,8.84,0,0,1010,990
"40",-8.87,8.87,0,0,1010,990
"41",-7.28,7.28,0,0,1010,990
"42",-8.72,8.72,0,0,1010,990
"43",1.57,-1.57,0,0,1010,990
"44",-1.64,1.64,0,0,1010,990
"45",-8.24,8.24,0,0,1010,990
"46",-9.95,9.95,0,0,1010,990
"47",-7.79,7.79,0,0,1010,990
"48",-7.82,7.82,0,0,1010,990
"49",3.07,-3.07,0,0,1010,990
"50",-1.19,1.19,0,0,1010,990
"51",0.789999999999999,-0.789999999999999,0,0,1010,990
"52",-9.14,9.14,0,0,1010,990
"53",-4.4,4.4,0,0,1010,990
"54",-0.949999999999999,0.949999999999999,0,0,1010,990
"55",-9.47,9.47,0,0,1010,990
"56",-2.78,2.78,0,0,1010,990
"57",-5.93,5.93,0,0,1010,990
"58",-9.59,9.59,0,0,1010,990
"59",-1.37,1.37,0,0,1010,990
"60",-1.16,1.16,0,0,1010,990
"61",-4.1,4.1,0,0,1010,990
"62",-1.28,1.28,0,0,1010,990
"63",-2.99,2.99,0,0,1010,990
"64",2.53,-2.53,0,0,1010,990
"65",-10.4,10.4,0,0,1010,990
"66",0.43,-0.430000000000001,0,0,1010,990
"67",-3.56,3.56,0,0,1010,990
"68",-7.49,7.49,0,0,1010,990
"69",1.6,-1.6,0,0,1010,990
"70",-6.98,6.98,0,0,1010,990
"71",-9.17,9.17,0,0,1010,990
"72",-0.559999999999999,0.559999999999999,0,0,1010,990
"73",-10.88,10.88,0,0,1010,990
"74",-7.64,7.64,0,0,1010,990
"75",-7.91,7.91,0,0,1010,990
"76",-2.51,2.51,0,0,1010,990
"77",-9.92,9.92,0,0,1010,990
"78",-5.84,5.84,0,0,1010,990
"79",4.66,-4.66,0,0,1010,990
"80",-7.04,7.04,0,0,1010,990
"81",0.280000000000001,-0.280000000000001,0,0,1010,990
"82",-9.65,9.65,0,0,1010,990
"83",-5.66,5.66,0,0,1010,990
"84",0.34,-0.340000000000002,0,0,1010,990
"85",-11.93,11.93,0,0,1010,990
"86",-1.55,1.55,0,0,1010,990
"87",-10.16,10.16,0,0,1010,990
"88",-8.15,8.15,0,0,1010,990
"89",1.84,-1.84,0,0,1010,990
"90",-3.92,3.92,0,0,1010,990
"91",-1.55,1.55,0,0,1010,990
"92",1.06,-1.06,0,0,1010,990
"93",-10.88,10.88,0,0,1010,990
"94",-0.59,0.59,0,0,1010,990
"95",0.280000000000001,-0.280000000000001,0,0,1010,990
"96",-3.5,3.5,0,0,1010,990
"97",-10.25,10.25,0,0,1010,990
"98",-9.05,9.05,0,0,1010,990
"99",-4.58,4.58,0,0,1010,990
"100",-11.88,11.88,198.94,-198.94,980,1020
"101",-0.379999999999999,0.379999999999999,0,0,1010,990
"102",-1.64,1.64,0,0,1010,990
"103",-0.140000000000001,0.139999999999999,0,0,1010,990
"104",-6.65,6.65,0,0,1010,990
"105",-3.44,3.44,0,0,1010,990
"106",-1.97,1.97,0,0,1010,990
"107",-10.76,10.76,0,0,1010,990
"108",1.78,-1.78,0,0,1010,990
"109",-4.94,4.94,0,0,1010,990
"110",-9.35,9.35,0,0,1010,990
"111",5.2,-5.2,0,0,1010,990
"112",-2.87,2.87,0,0,1010,990
"113",-6.2,6.2,0,0,1010,990
"114",-3.38,3.38,0,0,1010,990
"115",-3.71,3.71,0,0,1010,990
"116",-9.05,9.05,0,0,1010,990
"117",-8.81,8.81,0,0,1010,990
"118",-6.29,6.29,0,0,1010,990
"119",-4.55,4.55,0,0,1010,990
"120",-4.61,4.61,0,0,1010,990
"121",-6.8,6.8,0,0,1010,990
"122",-3.56,3.56,0,0,1010,990
"123",-8.72,8.72,0,0,1010,990
"124",-10.52,10.52,0,0,1010,990
"125",0.610000000000003,-0.610000000000001,0,0,1010,990
"126",4.48,-4.48,0,0,1010,990
"127",-2.75,2.75,0,0,1010,990
"128",-3.53,3.53,0,0,1010,990
"129",0.580000000000002,-0.580000000000002,0,0,1010,990
"130",-0.140000000000001,0.139999999999999,0,0,1010,990
"131",-0.68,0.68,0,0,1010,990
"132",-12.14,12.14,0,0,1010,990
"133",-3.29,3.29,0,0,1010,990
"134",-8.99,8.99,0,0,1010,990
"135",-0.739999999999998,0.74,0,0,1010,990
"136",-8.84,8.84,0,0,1010,990
"137",2.98,-2.98,0,0,1010,990
"138",-8.09,8.09,0,0,1010,990
"139",1.09,-1.09,0,0,1010,990
"140",-0.620000000000001,0.619999999999999,0,0,1010,990
"141",-3.71,3.71,0,0,1010,990
"142",0.0400000000000027,-0.0400000000000009,0,0,1010,990
"143",2.41,-2.41,0,0,1010,990
"144",-4.73,4.73,0,0,1010,990
"145",-4.76,4.76,0,0,1010,990
"146",-1.13,1.13,0,0,1010,990
"147",-0.0799999999999983,0.0799999999999983,0,0,1010,990
"148",-6.77,6.77,0,0,1010,990
"149",-3.14,3.14,0,0,1010,990
"150",-0.259999999999998,0.26,0,0,1010,990
"151",-7.94,7.94,0,0,1010,990
"152",-6.23,6.23,0,0,1010,990
"153",-2.48,2.48,0,0,1010,990
"154",-2.27,2.27,0,0,1010,990
"155",-3.08,3.08,0,0,1010,990
"156",-8.93,8.93,0,0,1010,990
"157",-10.46,10.46,0,0,1010,990
"158",1.57,-1.57,0,0,1010,990
"159",-6.32,6.32,0,0,1010,990
"160",-10.85,10.85,0,0,1010,990
"161",-8.57,8.57,0,0,1010,990
"162",1.81,-1.81,0,0,1010,990
"163",-1.13,1.13,0,0,1010,990
"164",-10.96,10.96,221.48,-221.48,980,1020
"165",-0.439999999999998,0.44,0,0,1010,990
"166",-10.28,10.28,0,0,1010,990
"167",-5.33,5.33,0,0,1010,990
"168",5.08,-5.08,0,0,1010,990
"169",0.639999999999997,-0.639999999999999,0,0,1010,990
"170",-10.55,10.55,0,0,1010,990
"171",1.57,-1.57,0,0,1010,990
"172",-9.32,9.32,0,0,1010,990
"173",-0.41,0.41,0,0,1010,990
"174",-8.96,8.96,0,0,1010,990
"175",-7.43,7.43,0,0,1010,990
"176",-3.59,3.59,0,0,1010,990
"177",-5.75,5.75,0,0,1010,990
"178",-2.27,2.27,0,0,1010,990
